"ENSEMBL_clean","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENSEMBL","SYMBOL","GENENAME","ENTREZID"
"ENSG00000141527",74.2133470085155,1.03383103537586,0.18524861756504,5.58077598075941,2.39447884818224e-08,1.85751137190062e-06,"ENSG00000141527.11","CARD14","caspase recruitment domain family member 14","79092"
"ENSG00000142182",4.73594888649732,1.25940922134123,0.427651141618014,2.94494530419414,0.00323011758861798,0.0106797813361177,"ENSG00000142182.4","DNMT3L","DNA methyltransferase 3 like","29947"
"ENSG00000142227",248.277521048643,1.09889128786517,0.192441906030696,5.71024944894221,1.12810702429231e-08,1.07630486840671e-06,"ENSG00000142227.6","EMP3","epithelial membrane protein 3 (MAM blood group)","2014"
"ENSG00000142347",295.77019088815,1.09235148014228,0.198790786540498,5.49498042214218,3.90753761890897e-08,2.59443051375649e-06,"ENSG00000142347.12","MYO1F","myosin IF","4542"
"ENSG00000142627",158.106499157904,1.31212927023005,0.203711444205855,6.44111711713221,1.18597309441729e-10,3.86045869420028e-08,"ENSG00000142627.9","EPHA2","EPH receptor A2","1969"
"ENSG00000142632",57.761099164319,1.09854195730717,0.175569232881548,6.25703000051455,3.92377955559516e-10,1.06784695741697e-07,"ENSG00000142632.11","ARHGEF19","Rho guanine nucleotide exchange factor 19","128272"
"ENSG00000142973",21.0147436567002,1.13831177404805,0.346493151065966,3.28523600119109,0.00101896982801978,0.00425771913288609,"ENSG00000142973.8","CYP4B1","cytochrome P450 family 4 subfamily B member 1","1580"
"ENSG00000143127",332.389207677709,1.30380141545933,0.197625352509867,6.59733884798121,4.18603299321394e-11,1.87817118163094e-08,"ENSG00000143127.8","ITGA10","integrin subunit alpha 10","8515"
"ENSG00000143226",312.464209175715,1.19778790147181,0.284620399240106,4.20836983107932,2.57219634161075e-05,0.000256462651453934,"ENSG00000143226.8","FCGR2A","Fc gamma receptor IIa","2212"
"ENSG00000143473",168.09967839108,-1.33325871304326,0.287886037116481,-4.63120311911415,3.63547001566336e-06,6.20909853189583e-05,"ENSG00000143473.7","KCNH1","potassium voltage-gated channel subfamily H member 1","3756"
"ENSG00000143546",171.515551988549,1.49640607184714,0.453365261475241,3.30066328191504,0.000964565686307343,0.00409219395818763,"ENSG00000143546.5","S100A8","S100 calcium binding protein A8","6279"
"ENSG00000143552",24.9593419554644,1.23110114155886,0.224606725493758,5.48114104264909,4.22591409519005e-08,2.73544269556941e-06,"ENSG00000143552.5","NUP210L","nucleoporin 210 like","91181"
"ENSG00000143556",5.89270944782114,1.10617130108026,0.278476573228726,3.9722239047078,7.12047429953279e-05,0.000558898316059309,"ENSG00000143556.4","S100A7","S100 calcium binding protein A7","6278"
"ENSG00000144227",44.8317465487055,-1.4506763436677,0.361977638449981,-4.00764077548993,6.13283065317102e-05,0.000500300352202909,"ENSG00000144227.4","NXPH2","neurexophilin 2","11249"
"ENSG00000144460",31.8890252710048,-1.0524934509543,0.301381014360534,-3.4922354123317,0.000478995886729648,0.00236463316843484,"ENSG00000144460.10","NYAP2","neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2","57624"
"ENSG00000144488",12.1523078082598,1.46996821364942,0.356222286899425,4.12654757355048,3.68249852490729e-05,0.000338942349689297,"ENSG00000144488.10","ESPNL","espin like","339768"
"ENSG00000144837",170.202949169081,1.48437658329551,0.320432008450502,4.63242292951144,3.61410894875152e-06,6.19172576452259e-05,"ENSG00000144837.4","PLA1A","phospholipase A1 member A","51365"
"ENSG00000145040",4.16471198057719,1.60148859939057,0.380814407733402,4.205430695027,2.60585434565143e-05,0.000259109329951352,"ENSG00000145040.3","UCN2","urocortin 2","90226"
"ENSG00000145287",29.4672496698195,1.00526122200299,0.303078741435568,3.31683184786057,0.000910443941654035,0.00390923623612571,"ENSG00000145287.6","PLAC8","placenta associated 8","51316"
"ENSG00000145358",289.638092469513,1.06387292570677,0.21511994738801,4.94548710440077,7.59536987271791e-07,2.02718223885836e-05,"ENSG00000145358.2","DDIT4L","DNA damage inducible transcript 4 like","115265"
"ENSG00000145681",122.475655429318,-1.02729492389092,0.217938801477951,-4.71368529570836,2.43276294458231e-06,4.62615093276185e-05,"ENSG00000145681.6","HAPLN1","hyaluronan and proteoglycan link protein 1","1404"
"ENSG00000145832",471.277482680089,1.04592810699033,0.19488822145225,5.36681026280797,8.01412844702208e-08,4.00730561292209e-06,"ENSG00000145832.8","SLC25A48","solute carrier family 25 member 48","153328"
"ENSG00000146013",3.96048190468482,1.03099519111355,0.336575113402947,3.06319496022645,0.00218987338925916,0.00777295021062463,"ENSG00000146013.6","GFRA3","GDNF family receptor alpha 3","2676"
"ENSG00000146352",157.033748191201,-1.04120219437339,0.241114710449551,-4.31828565097542,1.5724583380046e-05,0.000176858948978417,"ENSG00000146352.7","CLVS2","clavesin 2","134829"
