"ENSEMBL_clean","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENSEMBL","SYMBOL","GENENAME","ENTREZID"
"ENSG00000000003",348.118848691086,0.25413775494241,0.152144118035325,1.67037515629362,0.0948451618282867,0.162121553903561,"ENSG00000000003.10","TSPAN6","tetraspanin 6","7105"
"ENSG00000000005",4.54573169031787,-0.859444284473691,0.290601938132052,-2.957462328015,0.00310182648916508,0.0103278118572195,"ENSG00000000005.5","TNMD","tenomodulin","64102"
"ENSG00000000419",692.331382010123,-0.233960801465493,0.103595987685964,-2.25839635966126,0.0239209594852308,0.0531680075531286,"ENSG00000000419.8","DPM1","dolichyl-phosphate mannosyltransferase subunit 1, catalytic","8813"
"ENSG00000000457",179.896852824521,-0.360872265009608,0.0914583716508132,-3.94575431965281,7.95491474539018e-05,0.00060661249282601,"ENSG00000000457.8","SCYL3","SCY1 like pseudokinase 3","57147"
"ENSG00000000460",140.072871877331,0.0504200259904607,0.102872744199372,0.490120355813045,0.624048734595231,0.714175723356917,"ENSG00000000460.12","FIRRM","FIGNL1 interacting regulator of recombination and mitosis","55732"
"ENSG00000000938",284.518316148995,0.997971909135002,0.188717343359916,5.28818332945531,1.23537131462261e-07,5.46765164705057e-06,"ENSG00000000938.8","FGR","FGR proto-oncogene, Src family tyrosine kinase","2268"
"ENSG00000000971",773.246208340255,0.986107743132157,0.267118483675563,3.69164922458104,0.000222804611748376,0.00132288246052746,"ENSG00000000971.11","CFH","complement factor H","3075"
"ENSG00000001036",451.830884597063,0.0263425055383064,0.0969669985037899,0.271664648228509,0.785879885915304,0.844518637460761,"ENSG00000001036.8","FUCA2","alpha-L-fucosidase 2","2519"
"ENSG00000001084",1412.9080612183,-0.163606268628118,0.112738345904949,-1.45120337995785,0.146723236004978,0.231403423989991,"ENSG00000001084.6","GCLC","glutamate-cysteine ligase catalytic subunit","2729"
"ENSG00000001167",624.853476458707,-0.0389694212966814,0.0908109219585873,-0.429127030716115,0.667830781913853,0.749886501860495,"ENSG00000001167.10","NFYA","nuclear transcription factor Y subunit alpha","4800"
"ENSG00000001460",670.598147252602,-0.174933891193296,0.0649532623985728,-2.69322717186781,0.00707640347244113,0.0198908523613266,"ENSG00000001460.13","STPG1","sperm tail PG-rich repeat containing 1","90529"
"ENSG00000001461",3709.25348784375,-0.194269991446366,0.127212454702401,-1.5271302790347,0.126728618990166,0.205431286383728,"ENSG00000001461.12","NIPAL3","NIPA like domain containing 3","57185"
"ENSG00000001497",2226.53876689298,-0.0134318529742493,0.0919141467112524,-0.146134773099133,0.883814996104108,0.916330788480416,"ENSG00000001497.12","LAS1L","LAS1 like ribosome biogenesis factor","81887"
"ENSG00000001561",1668.92339429053,-0.256028958979764,0.119183008764065,-2.14820016405694,0.031697857688918,0.0669486177472935,"ENSG00000001561.6","ENPP4","ectonucleotide pyrophosphatase/phosphodiesterase 4","22875"
"ENSG00000001617",314.994089623646,1.05083378667613,0.199154017631524,5.27648801251097,1.3168312287586e-07,5.59832923613949e-06,"ENSG00000001617.7","SEMA3F","semaphorin 3F","6405"
"ENSG00000001626",32.3367519240836,-0.878448422516844,0.312722258541245,-2.80903708810028,0.00496899218475748,0.0150030105896265,"ENSG00000001626.9","CFTR","CF transmembrane conductance regulator","1080"
"ENSG00000001629",1978.55552431746,-0.0414706690831847,0.108475529927159,-0.38230436957563,0.702235613962152,0.777706032514054,"ENSG00000001629.5","ANKIB1","ankyrin repeat and IBR domain containing 1","54467"
"ENSG00000001630",104.157310762859,-0.351364694275598,0.180306398272535,-1.94870896231041,0.0513301908821363,0.0989322719117259,"ENSG00000001630.11","CYP51A1","cytochrome P450 family 51 subfamily A member 1","1595"
"ENSG00000001631",1000.01024963683,-0.222307353415192,0.0575429958154627,-3.86332602716966,0.000111853562533216,0.000783824817059486,"ENSG00000001631.10","KRIT1","KRIT1 ankyrin repeat containing","889"
"ENSG00000002016",633.846421031086,0.301222682593913,0.107458159340603,2.80316250010525,0.00506041652182299,0.0152370769221727,"ENSG00000002016.11","RAD52","RAD52 DNA repair protein","5893"
"ENSG00000002330",1511.67656020509,0.140610456695478,0.0944955007326829,1.48801218687913,0.13674767972487,0.218367471249766,"ENSG00000002330.9","BAD","BCL2 associated agonist of cell death","572"
"ENSG00000002549",1213.04495561739,0.0443064491026129,0.111557507467389,0.397162415228439,0.691247696012878,0.768871222881728,"ENSG00000002549.7","LAP3","leucine aminopeptidase 3","51056"
"ENSG00000002587",201.331492069566,-0.15197408175805,0.110182814284996,-1.37929025269729,0.167805280628329,0.256915564300552,"ENSG00000002587.5","HS3ST1","heparan sulfate-glucosamine 3-sulfotransferase 1","9957"
"ENSG00000002745",32.2556154467495,-0.481458439259551,0.218681843872255,-2.20163883171206,0.0276908306602293,0.0599561096200957,"ENSG00000002745.8","WNT16","Wnt family member 16","51384"
"ENSG00000002746",948.014091147229,-0.787845323519999,0.215650431830781,-3.65334452072053,0.000258846550618053,0.00148176261614148,"ENSG00000002746.9","HECW1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1","23072"
"ENSG00000002822",632.097844201374,0.114387311509102,0.0800614852053399,1.42874331166508,0.153078024245447,0.239537023329123,"ENSG00000002822.11","MAD1L1","mitotic arrest deficient 1 like 1","8379"
"ENSG00000002834",3601.87269591653,0.0335765867296095,0.0747589192106407,0.449131516133936,0.653336786583061,0.738481855884027,"ENSG00000002834.13","LASP1","LIM and SH3 protein 1","3927"
"ENSG00000002919",707.612457154186,0.153520496562093,0.055581474426468,2.76208031805982,0.00574343476585894,0.0168486942124093,"ENSG00000002919.10","SNX11","sorting nexin 11","29916"
"ENSG00000002933",435.715557361403,0.90951056408094,0.197467591098636,4.60587258405676,4.10739843275846e-06,6.69155263809845e-05,"ENSG00000002933.3","TMEM176A","transmembrane protein 176A","55365"
"ENSG00000003056",953.463981195264,-0.305336410607896,0.0975666298944837,-3.12951683314379,0.0017509404019231,0.00648944414528029,"ENSG00000003056.3","M6PR","mannose-6-phosphate receptor, cation dependent","4074"
"ENSG00000003096",176.443023774994,-0.382295128542139,0.164635832129697,-2.32206515189824,0.0202294277476873,0.0465072330756622,"ENSG00000003096.9","KLHL13","kelch like family member 13","90293"
"ENSG00000003137",674.40364836666,-0.580678268229926,0.20426069180095,-2.84282924487395,0.00447150198037585,0.0138285030507115,"ENSG00000003137.4","CYP26B1","cytochrome P450 family 26 subfamily B member 1","56603"
"ENSG00000003147",1174.59803020763,-0.56176262356065,0.1631309451272,-3.44363004286293,0.000573960495359553,0.00272237662384684,"ENSG00000003147.13","ICA1","islet cell autoantigen 1","3382"
"ENSG00000003249",2547.52238858246,-0.0739751493865181,0.147642078694092,-0.501043808383324,0.616340291866829,0.707255490791542,"ENSG00000003249.8","DBNDD1","dysbindin domain containing 1","79007"
"ENSG00000003393",1690.86870740973,-0.222737210660186,0.0581457647138178,-3.83066955532282,0.000127795035057447,0.000865575429207949,"ENSG00000003393.10","ALS2","alsin Rho guanine nucleotide exchange factor ALS2","57679"
"ENSG00000003400",161.562917172351,0.549644906389716,0.138735044133899,3.96183177668672,7.43769383680189e-05,0.000576438633915725,"ENSG00000003400.10","CASP10","caspase 10","843"
"ENSG00000003402",589.420098822625,0.329634751536877,0.167184630381356,1.97168095407434,0.0486460392026122,0.0947077397446423,"ENSG00000003402.14","CFLAR","CASP8 and FADD like apoptosis regulator","8837"
"ENSG00000003436",99.0298722025179,0.640327039926995,0.237857011211519,2.69206712329186,0.00710106518213971,0.0199365437322343,"ENSG00000003436.10","TFPI","tissue factor pathway inhibitor","7035"
"ENSG00000003509",480.891785024451,-0.126175684486675,0.0590814072279099,-2.13562422438492,0.0327100552845643,0.0686843773452436,"ENSG00000003509.11","NDUFAF7","NADH:ubiquinone oxidoreductase complex assembly factor 7","55471"
"ENSG00000003756",4413.15392116339,-0.0575696517452278,0.0739160904740072,-0.778851416194317,0.436067245938554,0.548171463715427,"ENSG00000003756.12","RBM5","RNA binding motif protein 5","10181"
"ENSG00000003987",749.8379871486,-0.760301886314812,0.134461147011057,-5.65443552442916,1.5635927751081e-08,1.36975349461227e-06,"ENSG00000003987.9","MTMR7","myotubularin related protein 7","9108"
"ENSG00000003989",1052.42281947271,0.959440448367426,0.232405910269142,4.12829625226109,3.6546106832171e-05,0.00033761932082408,"ENSG00000003989.12","SLC7A2","solute carrier family 7 member 2","6542"
"ENSG00000004059",3726.05697917179,-0.143281842930395,0.0846778555973363,-1.69208161826553,0.0906304127354841,0.156171422236015,"ENSG00000004059.6","ARF5","ARF GTPase 5","381"
"ENSG00000004139",300.738941500315,-0.192444335888497,0.10398563738244,-1.85068188966061,0.0642153309776488,0.118356690303092,"ENSG00000004139.9","SARM1","sterile alpha and TIR motif containing 1","23098"
"ENSG00000004399",2469.71991021992,0.294700210066746,0.126835868508438,2.32347689602599,0.0201535474106738,0.0463584648142714,"ENSG00000004399.8","PLXND1","plexin D1","23129"
"ENSG00000004455",1422.93306559913,0.0836525601988604,0.0871790350665435,0.959549049092006,0.337282222547916,0.448580380408701,"ENSG00000004455.12","AK2","adenylate kinase 2","204"
"ENSG00000004468",47.0230679955281,-0.580286528229513,0.241732534703614,-2.40053135148314,0.0163712882846807,0.0392461742691674,"ENSG00000004468.7","CD38","CD38 molecule","952"
"ENSG00000004478",5367.34924162933,0.816429934790197,0.154492804869991,5.28458225272848,1.25991931113063e-07,5.50294520821334e-06,"ENSG00000004478.5","FKBP4","FKBP prolyl isomerase 4","2288"
